Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
Time (s), Position_1, Position_2, Velocity_1, Velocity_2, Force_1, Force_2
0.023440, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.025434, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.027434, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.029436, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.031436, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.033435, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.035435, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.037444, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.039445, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.041443, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.043442, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.045442, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.047441, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.049440, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.051440, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.053445, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.055444, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.057443, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.059443, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.061443, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.063442, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.065442, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.067442, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.069443, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.071442, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.073444, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.075445, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.077445, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.079446, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.081446, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.083447, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.085447, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.087447, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.089448, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.091449, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.093449, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.095450, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.097450, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.099451, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.101451, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.103453, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.105454, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.107454, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.109454, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.111456, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.113456, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.115456, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.117459, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.119459, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.121460, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.123459, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.125460, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.127458, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.129458, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.131459, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.133460, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.135461, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.137461, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.139462, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.141463, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.143473, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.145473, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.147474, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.149474, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.151474, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.153475, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.155476, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
0.157476, -0.187875, 0.000768, 0.000000, 0.000000, 0.344366, 0.000000
0.159477, -0.187875, 0.000768, 0.000000, 0.000000, 0.000000, 0.000000
